,x_coor,y_coor,frame
1063,397,83,148
1064,396,28,148
1065,246,0,148
1066,413,338,149
1067,333,279,149
1068,397,92,149
1069,397,84,149
1070,246,0,149
1071,242,288,150
1072,536,267,150
1073,525,201,150
1074,397,92,150
1075,397,85,150
1076,397,28,150
1077,246,0,150
1078,316,405,151
1079,333,310,151
1080,397,28,151
1081,246,0,151
1082,316,406,152
1083,338,311,152
1084,475,208,152
1085,246,0,152
1086,317,406,153
1087,336,315,153
1088,339,310,153
1089,244,287,153
1090,52,242,153
1091,526,199,153
1092,326,90,153
1093,398,28,153
1094,246,0,153
1095,337,315,154
1096,339,314,154
1097,340,310,154
1098,526,199,154
1099,326,89,154
1100,398,28,154
1101,246,0,154
1102,340,313,155
1103,288,187,155
1104,246,0,155
1105,336,312,156
1106,51,242,156
1107,424,192,156
1108,290,188,156
1109,426,151,156
1110,399,28,156
1111,246,0,156
1112,338,313,157
1113,424,192,157
1114,291,187,157
1115,400,28,157
1116,246,0,157
1117,341,312,158
1118,432,196,158
1119,423,192,158
1120,293,187,158
1121,430,151,158
1122,400,28,158
1123,246,0,158
1124,319,403,159
1125,502,291,159
1126,330,268,159
1127,475,210,159
1128,433,197,159
1129,423,192,159
1130,429,150,159
1131,398,93,159
1132,330,89,159
1133,400,28,159
1134,246,0,159
1135,340,311,160
1136,345,310,160
1137,245,289,160
1138,329,267,160
1139,423,192,160
1140,296,187,160
1141,401,28,160
1142,246,0,160
1143,342,310,161
1144,346,309,161
1145,329,267,161
1146,419,198,161
1147,423,192,161
1148,432,150,161
1149,401,28,161
1150,246,0,161
1151,321,405,162
1152,345,309,162
1153,347,307,162
1154,50,242,162
1155,423,192,162
1156,299,188,162
1157,402,28,162
1158,246,0,162
1159,346,307,163
1160,328,266,163
1161,51,245,163
1162,300,188,163
1163,332,87,163
1164,402,28,163
1165,246,0,163
1166,320,406,164
1167,346,308,164
1168,334,277,164
1169,435,198,164
1170,423,192,164
1171,402,27,164
1172,246,0,164
1173,321,406,165
1174,345,306,165
1175,351,303,165
1176,50,242,165
1177,303,188,165
1178,403,27,165
1179,246,0,165
1180,348,306,166
1181,352,300,166
1182,304,188,166
1183,403,27,166
1184,246,0,166
1185,353,301,167
1186,351,299,167
1187,325,269,167
1188,546,257,167
1189,50,242,167
1190,369,152,167
1191,246,0,167
1192,322,406,168
1193,352,304,168
1194,354,303,168
1195,307,189,168
1196,335,86,168
1197,404,27,168
1198,246,0,168
1199,525,371,169
1200,353,303,169
1201,355,302,169
1202,329,263,169
1203,425,192,169
1204,308,189,169
1205,446,147,169
1206,404,27,169
1207,246,0,169
1208,323,407,170
1209,525,372,170
1210,357,299,170
1211,338,278,170
1212,49,244,170
1213,425,193,170
1214,309,189,170
1215,448,147,170
1216,405,27,170
1217,246,0,170
1218,358,298,171
1219,329,262,171
1220,310,189,171
1221,526,108,171
1222,405,27,171
1223,246,0,171
1224,324,407,172
1225,359,296,172
1226,328,262,172
1227,439,201,172
1228,426,193,172
1229,453,147,172
1230,337,85,172
1231,246,0,172
1232,360,298,173
1233,48,242,173
1234,427,192,173
1235,337,85,173
1236,406,27,173
1237,246,0,173
1238,358,299,174
1239,361,298,174
1240,48,242,174
1241,428,193,174
1242,337,86,174
1243,407,27,174
1244,246,0,174
1245,408,354,175
1246,357,297,175
1247,358,291,175
1248,428,194,175
1249,339,86,175
1250,407,27,175
1251,246,0,175
1252,408,354,176
1253,247,288,176
1254,362,290,176
1255,328,261,176
1256,47,244,176
1257,429,194,176
1258,458,146,176
1259,339,84,176
1260,408,27,176
1261,246,0,176
1262,247,288,177
1263,46,242,177
1264,408,27,177
1265,246,0,177
1266,408,355,178
1267,363,294,178
1268,325,261,178
1269,430,195,178
1270,319,190,178
1271,312,190,178
1272,461,145,178
1273,408,27,178
1274,246,0,178
1275,248,288,179
1276,324,261,179
1277,341,84,179
1278,409,27,179
1279,246,0,179
1280,345,281,180
1281,322,190,180
1282,374,150,180
1283,465,146,180
1284,341,83,180
1285,409,27,180
1286,246,0,180
1287,366,293,181
1288,367,291,181
1289,324,190,181
1290,342,83,181
1291,246,0,181
1292,366,292,182
1293,368,285,182
1294,326,190,182
1295,374,151,182
1296,246,0,182
1297,371,287,183
1298,366,284,183
1299,327,190,183
1300,411,27,183
1301,246,0,183
1302,443,204,184
1303,329,190,184
1304,246,0,184
1305,369,290,185
1306,373,286,185
1307,330,190,185
1308,475,148,185
1309,412,27,185
1310,246,0,185
1311,370,289,186
1312,374,285,186
1313,372,283,186
